wallet,amount
0xc0606eee8c2d0782e4f06ebd4fccd5799be6fbd2,2
0x528a9f872ba4500952a3c432a2ba6edffd185f4e,2
0xd75cd3dfea2d1688961e62b08b333692df0e66ec,3
0xc9eae131858bb939e5117b283dc2ca70b0589fc0,2
0x5812bb91c43b8d24174994d04dc542cf552b494e,2
0xc5b009225d42513343c99cf2e4ce60f11ddcf6c1,1
0x50734b1ddbb0011f40e14df926df04d0dd9e7aef,1
0xbbb45286603300aa0a396fc1169ffef6d565d6b4,3
0x8c4a2b57063ae4b742b4cd6e41946ba36168865d,2
0x754fd95d9b0b370c641ef1e6febf64f1293ca70a,1
0x8cb7f1a4f44593ec356b11c70c0a977c647c763c,2
0x2a259f94ede30a0499f1d83ff534026f6717f4f7,2
0x27886af189fc7a5ca5311ac9ed615f016084d980,4
0xabb9b779893a869b18e0f4e432623d64077788ff,2
0x1c5762f9899b46c19d4c9b8fbdd38d35856227f3,1
0x41db2348f54dbab35908594a3a47e9c3e2c71bfe,2
0xd83a259ffdf48d5d2bea82fe65a44a1d78fb1454,6
0xd9363e895affa9fbdba4e71846bbbf3c745857c6,2
0x4e54bd02aadf1f921f0250ecbbf7c057f6f1ec12,1
0xec9581e8943b32035fd90ad2607ec49aedc3b64b,3
0x30a006ceb32c7e591c687301ac905c6c406342a7,3
0xb8a7d78021a83fb29263d0c121c839c96cf07fc6,2
0x484ed6663f4f37ee61931761869338b52ad936d3,2
0xcfcb8e585d1490e01a3776156b98aee648566cbe,1
0xbeeb02e0f3c98d948bcc890c6c37e9020d16959d,1
0x98503a6b4533c5f905ce635c22b1742602f3136f,2
0x67a89680e6e520b6a715d23090f4b277546b84ca,2
0xca9c00a0bb2a70429f308c7781c8f9f5624a439a,1
0x5d967764f708b212f7d1c366f14368699711b5e6,4
0x6fe042644bdc0fb116595a96aab27fa12d0fc7c0,1
0xbf44c636a4a4bbe257a87067b25c4c875170e04d,3
0xf957a130545c912c2cd5c867b034c3b83f4d29f0,2
