amount,wallet
1,0x34d320cda7a1fbe507d0d22e715ad791403b6232
1,0xaee3fcaa91a6e56ba83ce37c79c3253a96705766
1,0x7372bcd5944004606de3b1bbff0140f6cc731998
2,0x2a259f94ede30a0499f1d83ff534026f6717f4f7
1,0x35df71a8c983fe4258cd9ab87eb3e66e183ff4d6
1,0x5812bb91c43b8d24174994d04dc542cf552b494e
1,0x8ababc6574a0fa22c8989de306bb9e879c63c492
1,0x62ee7bd8463a24c137e8477d9c1aa6d699188e8a
1,0xf55cbf08ae9424c572598b29064b2fc3f67add04
1,0x0b4b4b0a1a4f1ac969b6302c0f39d8a06328e896
3,0x1725ddb2547bfc9afb52e4e341cf70e2817744cc
1,0xaa95b126f7c6d0fb5ca3cc8cd2782ffa3c52c0c8
1,0xecb1165bae717f58ae71221a687b6c09cc43c504
1,0xee7728ad623cf4b0518e48780ae77134d6af1a8f
1,0x3b15575ba319519f5a3e3258dcb8d82e72f339e4
1,0xa184c07201b6e3c18013fa6b3f9c76a7a61c4fc7
1,0x1ee8657df36c16753359ef1b9ef876e300740cc2
1,0xd6dae639d905a51df0fc59a49927c8fae5590b7a
1,0xb8ef48e839e0d9c73bc2171618c1430a5aa3f4ce
4,0x64d109081b38c4884708d816baf0dca36e75cb8f
2,0x0d41af8beac32ce4898e50ef56e81388a6e7dccf
1,0xb2802e829eb2187bfa618b37771ed6cfe74cb53e
1,0xf14f0836f7d6ef65799d325cc787646f8ad2fa0d
2,0x17ae58ab79444ad5b8ee2e232caf13c65c32af75
1,0xe74ca58ef724b94fac7f2e09e2e48536a5c1ad03
1,0xe6aa0f8f60f8488e2f259531a48a081cdb8dd766
1,0xbe9643d7cdfa24986492d6df2dea2acfea3e7b28
2,0xefd6d1a128414680995bda5345705611b0dce930
3,0x96e3baa591c9cf4d5f44dd44d02a3d4ce9290ac2
1,0xacb818130ac9cd4484848848a0ca3e7dda4bb265
2,0x04764f07542f8870168236da61d31c217c4cbc56
2,0x3783c56c35963d83742d1fe3eab546f61d0eb9c7
1,0x47d0e753e6fc83f0bfa8967f4c1a9272d5a76aa4
2,0xade962ea9c248c0b4b3db6007aadefd9801bc5cf
2,0x089ad55045fe72f1f77eaac7e166de9e277600a5
